,id,name,comics.available,series.available,stories.available,events.available
35,1010900,Mr. Fish,1,1,1,0
36,1009460,Mr. Fixit,25,3,39,1
37,1010347,Mr. Hyde,34,18,46,2
38,1010840,Mr. Immortal,6,3,6,0
39,1014984,Mr. Meugniot,0,0,0,0
40,1011244,Mr. Negative,27,8,32,2
41,1009461,Mr. Payback,0,0,0,0
42,1009462,Mr. X,7,5,6,0
43,1017824,Ms. America (America Chavez),70,24,71,1
44,1017577,Ms. Marvel (Kamala Khan),240,84,242,2
45,1011372,MS2,0,0,0,0
46,1011210,Mulholland Black,11,2,19,1
47,1011056,Multiple Man,53,16,63,2
48,1010826,MVP,4,3,6,1
49,1009464,Mysterio,90,35,99,1
50,1010951,Mysterio (Daniel Berkhart),0,0,0,0
51,1010952,Mysterio (Francis Klum),2,2,1,0
52,1009465,Mystique,198,74,243,10
53,1010953,Mystique (Age of Apocalypse),2,1,2,1
54,1010954,Mystique (House of M),1,1,1,1
55,1011129,Mystique (Ultimate),11,5,17,0
0,1013483,Nakia (Nakia),2,2,2,0
1,1009466,Namor,331,129,377,16
2,1009468,Namora,50,17,90,3
3,1009469,Namorita,66,22,74,7
4,1014978,Naoko,0,0,0,0
5,1009547,Natasha Romanoff,19,8,20,1
6,1010365,Nebula,30,18,30,2
7,1011302,Nehzno,0,0,0,0
8,1011422,Nekra,4,1,4,0
9,1011086,Nemesis,35,6,55,1
10,1010831,Network,0,0,0,0
11,1010815,New Goblin,0,0,0,0
12,1011336,New Mutants,283,56,461,16
13,1010683,New Warriors,112,21,149,4
14,1011271,New X-Men,46,12,51,1
15,1011269,Newton Destine,3,2,2,0
16,1011303,Next Avengers,1,1,1,0
17,1010685,Nextwave,13,2,12,0
18,1009471,Nick Fury,531,200,606,10
19,1017298,Nick Fury (LEGO Marvel Super Heroes),0,0,0,0
20,1011007,Nick Fury (Ultimate),84,33,106,0
21,1010746,Nico Minoru,25,12,24,1
22,1010706,Nicolaos,2,1,2,0
23,1011282,Night Nurse (Earth-9997),0,0,0,0
24,1014057,Night Nurse (Linda Carter),11,6,9,0
25,1010684,Night Thrasher,46,12,70,4
26,1014063,Night Thrasher (Dwayne Taylor),14,4,20,0
27,1009472,Nightcrawler,626,187,738,17
28,1011337,Nightcrawler (Ultimate),38,8,64,0
29,1010349,Nighthawk,59,24,62,1
30,1009473,Nightmare,59,25,74,4
31,1011124,Nightshade,3,2,3,0
32,1011409,Nine-Fold Daughters of Xao,1,1,1,0
33,1010797,Nitro,7,6,6,1
34,1009474,Nocturne,33,14,34,1
35,1009475,Nomad,22,13,24,0
36,1011427,Nomad (Rikki Barnes),16,4,20,0
37,1010955,Nomad (Steve Rogers),4,2,6,0
38,1009325,Norman Osborn,191,80,222,5
39,1010063,Norrin Radd,0,0,0,0
40,1009476,Northstar,107,31,123,6
41,1009477,Nova,193,65,266,11
42,1010956,Nova (Frankie Raye),7,5,7,0
43,1017078,Nova (Sam Alexander),110,21,113,4
44,1016837,Nova (USM),0,0,0,0
45,1010707,Nuke,12,7,14,0
0,1009620,Obadiah Stane,4,2,7,0
1,1009480,Odin,219,86,268,7
2,1009481,Ogun,7,4,9,0
3,1017840,Okoye,8,3,8,0
4,1010882,Old Lace,13,7,13,0
5,1017810,Old Man Logan (Earth-807128),156,43,157,1
6,1014160,Omega (Michael Pointer),1,1,2,1
7,1010757,Omega Flight,10,3,13,1
8,1009482,Omega Red,62,24,67,1
9,1011329,Omega Sentinel,1,1,1,0
10,1011123,Omega the Unknown,16,5,15,0
11,1009483,Onslaught,46,27,41,1
12,1011255,Onslaught (Ultimate),0,0,0,0
13,1009484,Oracle,20,13,12,0
14,1011202,Ord,11,5,9,0
15,1009485,Orphan,14,2,22,0
16,1010957,Orphan-Maker,19,2,19,1
17,1009479,Otto Octavius,9,6,9,0
18,1014198,Outlaw (Inez Temple),14,6,14,0
19,1011228,Outlaw Kid,3,1,3,0
20,1010332,Overlord,0,0,0,0
21,1011028,Owl,19,16,21,1
22,1009488,Ozymandias,15,12,11,1
0,1011150,Paibok,4,2,7,0
1,1010873,Paladin,24,14,26,2
2,1010708,Pandemic,2,2,1,0
3,1011321,Paper Doll,3,1,4,0
4,1010357,Patch,5,2,5,0
5,1009492,Patriot,81,16,81,2
6,1011351,Payback,0,0,0,0
7,1017857,Peggy Carter (Captain Carter),15,7,15,0
8,1014267,Penance (Monet St. Croix),17,5,17,0
9,1009493,Penance (Robert Baldwin),67,20,84,6
10,1009494,Pepper Potts,85,20,122,2
11,1009495,Pestilence,10,2,13,1
12,1011388,Pet Avengers,14,4,24,0
13,1010779,Pete Wisdom,22,9,22,0
14,1009491,Peter Parker,195,35,204,4
15,1010734,Peter Quill,7,5,6,1
16,1011021,Phalanx,3,2,3,0
17,1011419,Phantom Reporter,2,2,2,0
18,1017839,Phil Coulson (Phil Coulson),4,4,7,0
19,1011369,Phil Sheldon,8,3,14,0
20,1014318,Phoenix Force,15,7,17,0
21,1011045,Photon,31,11,34,0
22,1010741,Phyla-Vell,2,1,2,0
23,1010886,Piledriver,6,3,5,0
24,1010762,Pip,18,9,17,1
25,1011179,Pixie,47,15,48,4
26,1009498,Plazm,2,2,2,0
27,1009499,Polaris,271,70,314,10
28,1009501,Post,13,8,11,1
29,1016840,Power Man (USM),0,0,0,0
30,1010770,Power Pack,137,38,164,4
31,1011151,Praxagora,3,1,3,1
32,1011152,Preak,3,1,3,1
33,1009502,Pretty Boy,3,2,2,0
34,1011104,Pride,10,5,10,0
35,1014989,Prima,0,0,0,0
36,1011234,Prince of Orphans,11,3,16,1
37,1010750,Princess Powerful,0,0,0,0
38,1009503,Prism,5,4,5,1
39,1011030,Prodigy,28,9,30,3
40,1014434,Prodigy (David Alleyne),10,2,17,0
41,1011153,Proemial Gods,0,0,0,0
42,1011378,Professor Monster,0,0,0,0
43,1009504,Professor X,422,134,426,15
44,1010958,Professor X (Ultimate),16,1,18,0
45,1009505,Proteus,16,10,14,1
46,1010960,Proteus (House of M),0,0,0,0
47,1010959,Proteus (Ultimate),5,3,3,0
48,1009506,Proudstar,5,3,6,0
49,1009507,Prowler,25,11,23,3
50,1010961,Prowler (Rick Lawson),0,0,0,0
51,1009511,Psycho-Man,11,8,10,0
52,1009512,Psylocke,431,102,501,21
53,1009510,PsyNapse,4,2,4,0
54,1009513,Puck,76,21,92,2
55,1010962,Puck (Zuzha Yu),12,1,24,0
56,1010865,Puff Adder,0,0,0,0
57,1011165,pug,0,0,0,0
58,1009514,Puma,31,13,34,2
59,1009515,Punisher,737,203,948,9
60,1009517,Punisher (2099),6,5,6,0
61,1017306,Punisher (Marvel: Avengers Alliance),0,0,0,0
62,1009519,Puppet Master,41,21,50,1
63,1011207,Purifiers,12,5,16,2
64,1009520,Purple Man,26,14,26,2
65,1009522,Pyro,58,23,63,5
0,1014528,Quake (Daisy Johnson),39,12,40,5
1,1009523,Quasar (Phyla-Vell),106,30,166,7
2,1010778,Quasar (Wendell Vaughn),40,19,42,5
3,1010334,Quasimodo,10,9,9,0
4,1011191,Queen Noir,0,0,0,0
5,1009387,Quentin Quire,65,14,66,1
6,1009524,Quicksilver,373,131,396,11
7,1010964,Quicksilver (Age of Apocalypse),4,3,3,1
8,1010963,Quicksilver (Ultimate),32,13,48,0
0,1009430,Rachel Grey,88,34,95,8
1,1009526,Radioactive Man,28,19,25,2
2,1011280,Rafael Vega,0,0,0,0
3,1010817,Rage,37,9,43,5
4,1009527,Raider,0,0,0,0
5,1009528,Randall,7,3,11,0
6,1011326,Randall Flagg,1,1,1,0
7,1010767,Random,3,3,2,0
8,1010838,Rattler,0,0,0,0
9,1011154,Ravenous,5,2,5,1
10,1010892,Rawhide Kid,125,7,375,0
11,1009531,Raza,35,13,31,2
12,1009532,Reaper,18,8,21,1
13,1009533,Reavers,16,5,15,0
14,1015000,Reavers (Ultimate),2,2,1,0
15,1011249,Red 9,0,0,0,0
16,1009534,Red Ghost,15,13,15,0
17,1011238,Red Ghost (Ultimate),0,0,0,0
18,1014666,Red Guardian (Alexei Shostakov),7,5,6,0
19,1011360,Red Hulk,100,28,135,5
20,1017099,Red Hulk (HAS),1,1,1,0
21,1011436,Red She-Hulk,41,10,44,4
22,1011155,Red Shift,2,1,2,1
23,1009535,Red Skull,173,88,210,7
24,1010965,Red Skull (Albert Malik),0,0,0,0
25,1010837,Red Wolf,24,11,27,1
26,1011390,Redwing,22,9,32,0
27,1011376,Reptil,56,9,68,3
28,1011189,Retro Girl,1,1,1,0
29,1011330,Revanche,1,1,1,0
30,1009537,Rhino,74,45,81,2
31,1009702,Rhodey,12,7,18,0
32,1011401,Richard Fisk,0,0,0,0
33,1009379,Rick Jones,194,43,261,5
34,1015006,Rick Jones (Ultimate),0,0,0,0
35,1011348,Ricochet,7,2,7,0
36,1009542,Rictor,119,24,126,5
37,1009543,Riptide,11,7,9,2
38,1009544,Risque,13,5,12,1
39,1009545,Robbie Robertson,69,24,71,1
40,1010792,Robert Baldwin ,0,0,0,0
41,1009235,Robin Chapel,0,0,0,0
42,1010744,Rocket Raccoon,93,43,103,4
43,1017314,Rocket Raccoon (Marvel Heroes),0,0,0,0
44,1010769,Rocket Racer,1,1,1,0
